target_name,target_classification,is_background_or_calibration,instrument_name,observation_mode,filter_disperser,wavelength_min_um,wavelength_max_um,exposure_time_s,obs_start_utc,obs_end_utc,calib_level,proposal_id,proposal_type,proposal_pi,obs_title,ra_deg,dec_deg,release_date_utc,obs_id,obsid,product_uri,product_download_url
BD+60-1753-BRIGHT,Star; A stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,336.211,2022-05-26T11:37:39,2022-05-26T11:49:26,3,1033,COM,"Kendrew, Sarah",MIRI LRS Photometric Sensitivity and Stability,261.2178749566891,60.43078729657622,2022-07-14T20:29:59,jw01033-o003_t001_miri_p750l-slitlessprism,83338867,mast:JWST/product/jw01033-o003_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01033-o003_t001_miri_p750l-slitlessprism_x1dints.fits
BD+60-1753-bkg,Star; A dwarfs,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,1222.063,2025-07-06T01:42:18,2025-07-06T02:02:40,2,7487,CAL,"Gordon, Karl D.",CAL-XCAL-401: Absolute Flux Calibration (A Dwarfs),261.21788443607875,60.43912386048799,2025-07-06T14:16:44,jw07487008001_03102_00001-seg001_mirimage,297864025,mast:JWST/product/jw07487008001_03102_00001-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw07487008001_03102_00001-seg001_mirimage_x1dints.fits
BD+60-1753-wbkg,Star; A dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,4888.731,2025-07-05T23:56:37,2025-07-06T01:20:16,3,7487,CAL,"Gordon, Karl D.",CAL-XCAL-401: Absolute Flux Calibration (A Dwarfs),261.2178844176825,60.4307905270098,2025-09-29T23:41:22,jw07487-o007_t008_miri_p750l-slitlessprism,353003911,mast:JWST/product/jw07487-o007_t008_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw07487-o007_t008_miri_p750l-slitlessprism_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,82.542,2025-07-22T08:30:01,2025-07-22T08:31:23,2,6045,GO,"Baeyens, Robin",Detecting ongoing gas-to-solid nucleation on the ultra-hot planet WASP-76 b,26.64107333333333,2.6838972222222224,2026-07-22T15:45:57,jw06045002001_02101_00001-seg001_mirimage,298787763,mast:JWST/product/jw06045002001_02101_00001-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw06045002001_02101_00001-seg001_mirimage_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26.878,2025-10-11T01:00:15,2025-10-11T01:00:42,2,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.86075000000005,6.610277777777777,2026-10-11T10:34:16,jw08739002001_02101_00001-seg001_mirimage,355433033,mast:JWST/product/jw08739002001_02101_00001-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739002001_02101_00001-seg001_mirimage_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26.878,2025-10-11T01:01:10,2025-10-11T01:01:37,2,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.86075000000005,6.610277777777777,2026-10-11T10:33:07,jw08739002001_02101_00002-seg001_mirimage,355433036,mast:JWST/product/jw08739002001_02101_00002-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739002001_02101_00002-seg001_mirimage_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26.878,2025-10-11T01:02:04,2025-10-11T01:02:31,2,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.86075000000005,6.610277777777777,2026-10-11T10:26:29,jw08739002001_02101_00003-seg001_mirimage,355433034,mast:JWST/product/jw08739002001_02101_00003-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739002001_02101_00003-seg001_mirimage_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26.878,2025-10-11T01:03:01,2025-10-11T01:03:28,2,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.86075000000005,6.610277777777777,2026-10-11T10:34:14,jw08739002001_02101_00004-seg001_mirimage,355433035,mast:JWST/product/jw08739002001_02101_00004-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739002001_02101_00004-seg001_mirimage_x1dints.fits
Background,Calibration; Telescope/sky background,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,26.878,2025-10-11T01:03:51,2025-10-11T01:04:18,2,8739,GO,"Hon, Marc Teng Yen",Precise Direct Interior Composition Measurements of a New Disintegrating Terrestrial Planet,326.86075000000005,6.610277777777777,2026-10-11T10:27:15,jw08739002001_02101_00005-seg001_mirimage,355433037,mast:JWST/product/jw08739002001_02101_00005-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw08739002001_02101_00005-seg001_mirimage_x1dints.fits
CD-45-5378,Star; Exoplanet Systems; M dwarfs; M stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,15241.916,2023-02-22T03:21:24,2023-02-22T16:11:45,3,2508,GO,"Zhang, Michael",The First and Only Multi-wavelength Map of an Ultra-short-period sub-Earth,146.12005604637852,-45.78025406955203,2024-02-23T05:58:49,jw02508-o001_t001_miri_p750l-slitlessprism,118006909,mast:JWST/product/jw02508-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw02508-o001_t001_miri_p750l-slitlessprism_x1dints.fits
GJ-436,Star; Exoplanet Systems; M dwarfs; M stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,17247.729,2023-05-26T07:35:10,2023-05-26T13:00:15,3,1177,GTO,"Greene, Thomas P.",MIRI observations of transiting exoplanets,175.55273424551464,26.701280733385726,2024-05-26T20:19:04,jw01177-o004_t003_miri_p750l-slitlessprism,140187443,mast:JWST/product/jw01177-o004_t003_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01177-o004_t003_miri_p750l-slitlessprism_x1dints.fits
GJ-436,Star; Exoplanet Systems; M dwarfs; M stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,17247.729,2023-12-02T16:09:47,2023-12-02T21:41:34,3,1177,GTO,"Greene, Thomas P.",MIRI observations of transiting exoplanets,175.55287930029948,26.70116295333579,2024-12-03T23:30:57,jw01177-o005_t003_miri_p750l-slitlessprism,197665196,mast:JWST/product/jw01177-o005_t003_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01177-o005_t003_miri_p750l-slitlessprism_x1dints.fits
GJ-9827,Star; Exoplanets,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,14242.032,2025-06-13T20:08:03,2025-06-14T00:12:34,3,4818,GO,"Weiner Mansfield, Megan",A survey to search for silicate vapor atmospheres in the ultra-hot terrestrial planet population,351.77281579152736,-1.284746089731299,2026-06-14T00:47:51,jw04818-o001_t001_miri_p750l-slitlessprism,300593622,mast:JWST/product/jw04818-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw04818-o001_t001_miri_p750l-slitlessprism_x1dints.fits
GJ-9827_BKG,Unidentified; Blank field,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,17.335,2025-06-14T00:20:35,2025-06-14T00:20:52,2,4818,GO,"Weiner Mansfield, Megan",A survey to search for silicate vapor atmospheres in the ultra-hot terrestrial planet population,351.77275,-1.2813611111110959,2026-06-14T01:03:52,jw04818002001_02101_00001-seg001_mirimage,276545866,mast:JWST/product/jw04818002001_02101_00001-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw04818002001_02101_00001-seg001_mirimage_x1dints.fits
GJ1132,Star; Exoplanet Systems; M dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,16575.944,2023-07-01T13:48:26,2023-07-01T18:45:27,3,1274,GTO,"Lunine, Jonathan I.",Extrasolar Planet Science with JWST,153.70562625958064,-47.154015701034034,2024-07-02T03:02:44,jw01274-o012_t008_miri_p750l-slitlessprism,150336639,mast:JWST/product/jw01274-o012_t008_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01274-o012_t008_miri_p750l-slitlessprism_x1dints.fits
GJ1214,Star; Exoplanet Systems; M stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,29543.111,2022-07-20T14:51:58,2022-07-22T08:20:42,3,1803,GO,"Bean, Jacob L.",Unlocking the Mysteries of the Archetype Sub-Neptune GJ1214b with a Full-Orbit Phase Curve,258.8325402798258,4.9592124443060115,2023-07-22T12:09:52,jw01803-o001_t001_miri_p750l-slitlessprism,87682029,mast:JWST/product/jw01803-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01803-o001_t001_miri_p750l-slitlessprism_x1dints.fits
GL486,Star; Exoplanets,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,16487.518,2023-05-29T04:56:35,2023-05-29T10:11:42,3,1743,GO,"Weiner Mansfield, Megan",Constraining the Atmosphere of the Terrestrial Exoplanet Gl486b,191.9792836628517,9.748409615598742,2024-05-29T13:24:30,jw01743-o001_t001_miri_p750l-slitlessprism,140278803,mast:JWST/product/jw01743-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01743-o001_t001_miri_p750l-slitlessprism_x1dints.fits
GL486,Star; Exoplanets,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,16487.518,2023-06-01T04:16:10,2023-06-01T08:57:59,3,1743,GO,"Weiner Mansfield, Megan",Constraining the Atmosphere of the Terrestrial Exoplanet Gl486b,191.97928136780465,9.748408584446416,2024-06-02T07:49:53,jw01743-o002_t001_miri_p750l-slitlessprism,140374788,mast:JWST/product/jw01743-o002_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01743-o002_t001_miri_p750l-slitlessprism_x1dints.fits
GRANAT-1915+105,Star; X-ray binary stars,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,7260.017,2023-06-06T08:50:22,2023-06-06T10:58:49,3,1586,GO,"Gandhi, Poshak",Black Hole Jet Launching Physics with MIRI,288.79814916666663,10.945808333333334,2024-06-07T14:25:27,jw01586-o002_t003_miri_p750l-slitlessprism,144057162,mast:JWST/product/jw01586-o002_t003_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw01586-o002_t003_miri_p750l-slitlessprism_x1dints.fits
HAT-P-1,Star; Exoplanets; G dwarfs,False,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,27720.513,2024-10-27T04:41:28,2024-10-27T12:31:19,3,2950,GO,"Waters, Rens",Exploring sulfur dioxide in  H/He-rich hot gas giant atmospheres,344.44547087087,38.67481081981277,2025-11-01T20:12:57,jw02950-o001_t001_miri_p750l-slitlessprism,232845526,mast:JWST/product/jw02950-o001_t001_miri_p750l-slitlessprism_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw02950-o001_t001_miri_p750l-slitlessprism_x1dints.fits
HAT-P-1-BG,Star; Exoplanets; G dwarfs,True,MIRI/SLITLESS,"MIRI LRS slitless (Low Resolution Spectroscopy, time-series)",P750L,5.0,10.0,79.361,2024-10-27T13:06:59,2024-10-27T13:08:18,2,2950,GO,"Waters, Rens",Exploring sulfur dioxide in  H/He-rich hot gas giant atmospheres,344.4357008333333,38.68881666666666,2025-10-27T13:53:44,jw02950004001_03103_00001-seg001_mirimage,232624376,mast:JWST/product/jw02950004001_03103_00001-seg001_mirimage_x1dints.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:JWST/product/jw02950004001_03103_00001-seg001_mirimage_x1dints.fits
