set,target_name,instrument,provenance,filters_grating,observation_mode,exposure_time_s,proposal_id,proposal_pi,release_date,obs_id,obsid,calib_level,wavelength_region
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19889.1,2319,"Hooton, Matthew",2024-08-07,jw02319001001_04102_00001-seg002_nrs2,163217254,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19889.1,2319,"Hooton, Matthew",2024-08-07,jw02319001001_04102_00001-seg003_nrs2,163217259,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19889.1,2319,"Hooton, Matthew",2024-08-07,jw02319001001_04102_00001-seg001_nrs2,163217263,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19320.84,2319,"Hooton, Matthew",2024-11-11,jw02319-o102_t001_nirspec_f290lp-g395m-s1600a1-sub2048,233595460,3,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19320.84,2319,"Hooton, Matthew",2024-11-11,jw02319102001_04102_00001-seg002_nrs2,190411525,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19320.84,2319,"Hooton, Matthew",2024-11-11,jw02319102001_04102_00001-seg001_nrs2,190390882,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19320.84,2319,"Hooton, Matthew",2024-11-11,jw02319102001_04102_00001-seg003_nrs2,190390901,2,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327-o001_t001_nirspec_f290lp-g395m-s1600a1-sub2048,233498736,3,INFRARED
JWST,NAME-G-268-38B,NIRSPEC/SLIT,CALJWST,F170LP;G235H,NIRSpec BOTS (Bright Object Time Series),17188.512,2334,"Damiano, Mario",2024-07-06,jw02334-o002_t001_nirspec_f170lp-g235h-s1600a1-sub2048,233637677,3,INFRARED
JWST,NAME-G-268-38B,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),18157.26,2334,"Damiano, Mario",2024-07-31,jw02334-o001_t001_nirspec_f290lp-g395h-s1600a1-sub2048,233637671,3,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327001001_03101_00001-seg003_nrs2,197675762,2,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327001001_03101_00001-seg001_nrs2,197668847,2,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327001001_03101_00001-seg004_nrs2,197668856,2,INFRARED
