set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01274004001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg006_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206398080,mast:JWST/product/jw01274004001_04103_00001-seg004_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206398080,mast:JWST/product/jw01274004001_04103_00001-seg002_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206398080,mast:JWST/product/jw01274004001_04103_00001-seg003_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg010_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg010_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg007_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg007_nrcalong_x1dints.fits,87680034
JWST,jw01274-o004_t003_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,438318,mast:JWST/product/jw01274-o004_t003_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,87680034
JWST,jw01274-o004_t003_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,2267784000,mast:JWST/product/jw01274-o004_t003_nircam_f322w2-grismr-subgrism64_x1dints.fits,87680034
JWST,jw01366002001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,26112960,mast:JWST/product/jw01366002001_04103_00001-seg004_nrcalong_x1dints.fits,87682152
JWST,jw01366002001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,26398080,mast:JWST/product/jw01366002001_04103_00001-seg001_nrcalong_x1dints.fits,87682152
JWST,jw01366002001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,26112960,mast:JWST/product/jw01366002001_04103_00001-seg003_nrcalong_x1dints.fits,87682152
JWST,jw01366002001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,26398080,mast:JWST/product/jw01366002001_04103_00001-seg002_nrcalong_x1dints.fits,87682152
JWST,jw01366-o002_t001_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,SCIENCE,WHTLT,3,20264,mast:JWST/product/jw01366-o002_t001_nircam_f322w2-grismr-subgrism256_whtlt.ecsv,87682152
JWST,jw01366-o002_t001_nircam_f322w2-grismr-subgrism256_x1dints.fits,SCIENCE,X1DINTS,3,104863680,mast:JWST/product/jw01366-o002_t001_nircam_f322w2-grismr-subgrism256_x1dints.fits,87682152
